"Genre","Energy","ZCR","CrestFactor","Tempo","SpectralCentroid","SpectralEntropy","AMDF_Min","AMDF_Mean"
"hardstyle",93950702.2624913,0.158794627594628,3.54042073794721,97494.9268316502,3403.18136796665,7.51947982125344,3545.13796390649,8319.03468003273
"jazz",18140430.1789773,0.0868117216117216,9.75266819526127,45619.7724698328,1977.22041930644,6.65810305627939,762.748827960518,3688.03075017995
"opera",7346920.63581112,0.0885755450898308,10.4358665973868,32539.0983588926,1773.20889592982,6.65396148197335,495.545853042335,2213.96669581851
"Rancheras",45354430.7976719,0.0826774114774114,4.96477140565895,57608.579452182,2115.27529176516,6.77462951243491,1356.91829768648,6836.16941509666
"Rap",82427242.5238715,0.0985208442351298,3.55599078986554,59675.08476698,2463.46719423069,6.85806273462586,1716.6223620521,6881.03177573057
"Regueton",96064596.4563216,0.0914635967207397,3.39546605779866,51540.2378125908,2374.11549644824,6.88944626044722,1999.22785579203,8737.08416983807
"rock",68902311.7209257,0.0936265829408686,4.25499551424928,77168.7131511961,2340.34691584421,6.79773476378961,1930.34676104893,8400.44107524976
